"YEAR","AMA","SECTOR","CATEGORY","PARENT WATER TYPE OR SECTOR","BUDGET ELEMENT","QUANTITY"
"2018","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","4175700"
"2017","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","4074488"
"2016","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","4058534"
"2015","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","4022054"
"2009","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","4017171"
"2014","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","3985722"
"2008","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","3963888"
"2013","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","3947338"
"2012","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","3913277"
"2007","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","3885377"
"2011","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","3881633"
"2010","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","3854671"
"2006","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","3796796"
"2005","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","3649811"
"2004","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","3496491"
"2003","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","3371914"
"2002","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","3260773"
"2001","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","3156534"
"2000","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","3057092"
"1999","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","2889782"
"1998","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","2789299"
"1997","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","2711273"
"1996","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","2619514"
"1995","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","2516542"
"1994","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","2349967"
"1993","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","2296761"
"1992","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","2235338"
"1991","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","2147775"
"1990","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","2099505"
"1989","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","2085429"
"1988","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","2007402"
"1987","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","1960262"
"1986","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","1882169"
"1985","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1877572"
"1986","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1839274"
"1985","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","1808342"
"1987","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1784763"
"1992","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1778340"
"1988","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1764040"
"1993","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1753496"
