"","p_year","annual_withdrawal"
"1",1975,50669996
"2",1976,54901553
"3",1977,54439827
"4",1978,55024717
"5",1979,55255135
"6",1980,55987981
"7",1981,54469836
"8",1982,51703911
"9",1983,49834432
"10",1984,50437796
"11",1985,45921750
"12",1986,46584897
"13",1987,47812102
"14",1988,49272674
"15",1989,50354317
"16",1990,52848295
"17",1991,52271343
"18",1992,51917749
"19",1993,52740804
"20",1994,53333928
"21",1995,55266121
"22",1996,55384178
"23",1997,55711633
"24",1998,57224400
"25",1999,56093950
"26",2000,63948896
"27",2001,61071770
"28",2002,61243574
"29",2003,61043849
"30",2004,59939524
"31",2005,61782633
"32",2006,63395159
"33",2007,62586693
"34",2008,61398901
"35",2009,61111990
"36",2010,62819928
"37",2011,64565135
"38",2012,63196992
"39",2013,62136412
"40",2014,61137215
"41",2015,62677977
"42",2016,61026781
"43",2017,60114313
"44",2018,63050880
"45",2019,55507440
