"","county","gallons_from_groundwater","year"
"1","Alcona",181118378,2018
"2","Alger",275161275,2018
"3","Allegan",5505619266,2018
"4","Alpena",19467720,2018
"5","Antrim",2542155272,2018
"6","Arenac",73346796,2018
"7","Baraga",0,2018
"8","Barry",1863886371,2018
"9","Bay",58702447,2018
"10","Benzie",1210747045,2018
"11","Berrien",3751735766,2018
"12","Branch",5817177286,2018
"13","Calhoun",8368333026,2018
"14","Cass",8585282805,2018
"15","Charlevoix",4837065884,2018
"16","Cheboygan",407719342,2018
"17","Chippewa",349428709,2018
"18","Clare",565607588,2018
"19","Clinton",1260955229,2018
"20","Crawford",473040449,2018
"21","Delta",101644137,2018
"22","Dickinson",827286595,2018
"23","Eaton",1099727576,2018
"24","Emmet",2624867865,2018
"25","Genesee",1534256755,2018
"26","Gladwin",151230807,2018
"27","Gogebic",612118960,2018
"28","Grand Traverse",1099087139,2018
"29","Gratiot",2762957392,2018
"30","Hillsdale",3048473718,2018
"31","Houghton",958666511,2018
"32","Huron",422743030,2018
"33","Ingham",12421038254,2018
"34","Ionia",2364320896,2018
"35","Iosco",369222265,2018
"36","Iron",451701400,2018
"37","Isabella",2671982097,2018
"38","Jackson",6811019480,2018
"39","Kalamazoo",20493341760,2018
"40","Kalkaska",940217686,2018
"41","Kent",4992560404,2018
"42","Keweenaw",16964158,2018
"43","Lake",72308915,2018
"44","Lapeer",222819275,2018
"45","Leelanau",568097019,2018
"46","Lenawee",2107026303,2018
"47","Livingston",3297403241,2018
"48","Luce",328375665,2018
"49","Mackinac",74592000,2018
"50","Macomb",443660660,2018
"51","Manistee",1251225633,2018
"52","Marquette",1480887119,2018
"53","Mason",772567028,2018
"54","Mecosta",3635146908,2018
"55","Menominee",64962511,2018
"56","Midland",253422601,2018
"57","Missaukee",1769726471,2018
"58","Monroe",10253980736,2018
"59","Montcalm",10555227714,2018
"60","Montmorency",92719454,2018
"61","Muskegon",2597266931,2018
"62","Newaygo",2450909364,2018
"63","Oakland",10041027007,2018
"64","Oceana",2085770647,2018
"65","Ogemaw",189031431,2018
