"","basin_name","use_type","year","acre_feet"
"1","Apple Creek","Industrial","2019",454.5
"2","Apple Creek","Industrial","2018",20.6
"3","Apple Creek","Industrial","2017",20.9
"4","Apple Creek","Industrial","2016",21.8
"5","Apple Creek","Industrial","2015",41.5
"6","Apple Creek","Industrial","2014",64.9
"7","Apple Creek","Industrial","2013",76.2
"8","Apple Creek","Industrial","2012",75
"9","Apple Creek","Industrial","2011",69
"10","Apple Creek","Industrial","2010",87.6
"11","Apple Creek","Irrigation","2019",9137.1
"12","Apple Creek","Irrigation","2018",20381
"13","Apple Creek","Irrigation","2017",28137.4
"14","Apple Creek","Irrigation","2016",21686.8
"15","Apple Creek","Irrigation","2015",22364.8
"16","Apple Creek","Irrigation","2014",20599.6
"17","Apple Creek","Irrigation","2013",28582.6
"18","Apple Creek","Irrigation","2012",22605.8
"19","Apple Creek","Irrigation","2011",13673.8
"20","Apple Creek","Irrigation","2010",19388
"21","Apple Creek","Municipal","2019",257.9
"22","Apple Creek","Municipal","2018",269.5
"23","Apple Creek","Municipal","2017",289.3
"24","Apple Creek","Municipal","2016",281.4
"25","Apple Creek","Municipal","2015",307.8
"26","Apple Creek","Municipal","2014",331.9
"27","Apple Creek","Municipal","2013",330.4
"28","Apple Creek","Municipal","2012",302.9
"29","Apple Creek","Municipal","2011",294.6
"30","Apple Creek","Municipal","2010",327.7
"31","Apple Creek","Rural Water","2019",4.3
"32","Apple Creek","Rural Water","2018",4.3
"33","Apple Creek","Rural Water","2017",4.3
"34","Apple Creek","Rural Water","2016",4.3
"35","Apple Creek","Rural Water","2015",4.3
"36","Apple Creek","Rural Water","2014",4.2
"37","Apple Creek","Rural Water","2013",4.1
"38","Apple Creek","Rural Water","2012",4.2
"39","Apple Creek","Rural Water","2011",4.3
"40","Apple Creek","Rural Water","2010",4.3
"41","Beaver","Industrial","2019",4.7
"42","Beaver","Industrial","2018",4.6
"43","Beaver","Industrial","2017",4.3
"44","Beaver","Industrial","2016",3.4
"45","Beaver","Industrial","2015",3.6
"46","Beaver","Industrial","2014",2.3
"47","Beaver","Industrial","2013",1.6
"48","Beaver","Industrial","2012",1.7
"49","Beaver","Industrial","2011",0.8
"50","Beaver","Industrial","2010",0.5
"51","Beaver","Irrigation","2019",222.8
"52","Beaver","Irrigation","2018",913.6
"53","Beaver","Irrigation","2017",1035.9
"54","Beaver","Irrigation","2016",720.5
"55","Beaver","Irrigation","2015",737.9
"56","Beaver","Irrigation","2014",567.4
"57","Beaver","Irrigation","2013",965.8
"58","Beaver","Irrigation","2012",1072.5
"59","Beaver","Irrigation","2011",471.6
"60","Beaver","Irrigation","2010",552.1
"61","Beaver","Municipal","2019",138.9
"62","Beaver","Municipal","2018",138.4
"63","Beaver","Municipal","2017",128.3
"64","Beaver","Municipal","2016",103.6
"65","Beaver","Municipal","2015",138.2
"66","Beaver","Municipal","2014",169.4
"67","Beaver","Municipal","2013",222
"68","Beaver","Municipal","2012",255.9
"69","Beaver","Municipal","2011",338
"70","Beaver","Municipal","2010",350.9
"71","Beaver","Rural Water","2019",0.1
"72","Beaver","Rural Water","2018",0.1
"73","Beaver","Rural Water","2017",0.1
"74","Beaver","Rural Water","2016",0.2
"75","Beaver","Rural Water","2015",0.2
"76","Beaver","Rural Water","2014",0.8
"77","Beaver","Rural Water","2013",0.8
"78","Beaver","Rural Water","2012",1
"79","Beaver","Rural Water","2011",1
"80","Beaver","Rural Water","2010",0.7
"81","Bois De Sioux","Industrial","2019",60.4
"82","Bois De Sioux","Industrial","2018",56.8
"83","Bois De Sioux","Industrial","2017",57.4
"84","Bois De Sioux","Industrial","2016",55.5
"85","Bois De Sioux","Industrial","2014",70.3
"86","Bois De Sioux","Industrial","2013",57.5
"87","Bois De Sioux","Industrial","2012",61.1
"88","Bois De Sioux","Industrial","2011",41.1
"89","Bois De Sioux","Industrial","2010",39.6
"90","Bois De Sioux","Irrigation","2019",0
"91","Bois De Sioux","Irrigation","2018",5.8
"92","Bois De Sioux","Irrigation","2017",35.2
"93","Bois De Sioux","Irrigation","2016",60.2
"94","Bois De Sioux","Irrigation","2015",67
"95","Bois De Sioux","Irrigation","2014",51.4
"96","Bois De Sioux","Irrigation","2013",66.4
"97","Bois De Sioux","Irrigation","2012",72.6
"98","Bois De Sioux","Municipal","2019",30.9
"99","Bois De Sioux","Municipal","2018",33.1
"100","Bois De Sioux","Municipal","2017",36.8
"101","Bois De Sioux","Municipal","2016",42.4
"102","Bois De Sioux","Municipal","2015",40.2
"103","Bois De Sioux","Municipal","2014",32.1
"104","Bois De Sioux","Municipal","2013",38.3
"105","Bois De Sioux","Municipal","2012",34.7
"106","Bois De Sioux","Municipal","2011",33.2
"107","Bois De Sioux","Municipal","2010",32.6
"108","Brush Lake Closed Basin","Industrial","2019",10.1
"109","Brush Lake Closed Basin","Industrial","2018",20.4
"110","Brush Lake Closed Basin","Industrial","2017",16.1
"111","Brush Lake Closed Basin","Industrial","2016",69.5
"112","Brush Lake Closed Basin","Industrial","2015",106.2
"113","Brush Lake Closed Basin","Industrial","2014",147.1
"114","Brush Lake Closed Basin","Industrial","2013",217.5
"115","Brush Lake Closed Basin","Industrial","2012",179
"116","Brush Lake Closed Basin","Industrial","2011",117.4
"117","Brush Lake Closed Basin","Industrial","2010",10.9
"118","Brush Lake Closed Basin","Irrigation","2019",1351.8
"119","Brush Lake Closed Basin","Irrigation","2018",1682.3
"120","Brush Lake Closed Basin","Irrigation","2017",2500.7
"121","Brush Lake Closed Basin","Irrigation","2016",1798.8
"122","Brush Lake Closed Basin","Irrigation","2015",1481.2
"123","Brush Lake Closed Basin","Irrigation","2014",1654
"124","Brush Lake Closed Basin","Irrigation","2013",1320.7
"125","Brush Lake Closed Basin","Irrigation","2012",1691
"126","Brush Lake Closed Basin","Irrigation","2011",1657.4
"127","Brush Lake Closed Basin","Irrigation","2010",1931.1
"128","Brush Lake Closed Basin","Municipal","2019",38.2
"129","Brush Lake Closed Basin","Municipal","2018",35.5
"130","Brush Lake Closed Basin","Municipal","2017",44.4
"131","Brush Lake Closed Basin","Municipal","2016",7.8
"132","Brush Lake Closed Basin","Municipal","2015",9.3
"133","Brush Lake Closed Basin","Municipal","2014",19.6
"134","Brush Lake Closed Basin","Municipal","2013",26.6
"135","Brush Lake Closed Basin","Municipal","2012",39.3
"136","Brush Lake Closed Basin","Municipal","2011",22.1
"137","Brush Lake Closed Basin","Municipal","2010",27.1
"138","Cedar","Industrial","2015",0
"139","Cedar","Industrial","2014",0
"140","Cedar","Industrial","2013",0
"141","Cedar","Industrial","2012",0
"142","Cedar","Industrial","2011",0
"143","Cedar","Industrial","2010",0
"144","Charlie-Little Muddy","Industrial","2019",91.4
"145","Charlie-Little Muddy","Industrial","2018",118.3
"146","Charlie-Little Muddy","Industrial","2017",119.8
"147","Charlie-Little Muddy","Industrial","2016",133.8
"148","Charlie-Little Muddy","Industrial","2015",164.8
"149","Charlie-Little Muddy","Industrial","2014",113.6
"150","Charlie-Little Muddy","Industrial","2013",11.1
"151","Charlie-Little Muddy","Industrial","2012",7.6
"152","Charlie-Little Muddy","Industrial","2011",0.8
"153","Charlie-Little Muddy","Industrial","2010",0.8
"154","Charlie-Little Muddy","Irrigation","2019",0
"155","Charlie-Little Muddy","Irrigation","2018",0
"156","Charlie-Little Muddy","Irrigation","2017",0
"157","Charlie-Little Muddy","Irrigation","2016",0
"158","Charlie-Little Muddy","Irrigation","2015",0
"159","Charlie-Little Muddy","Irrigation","2014",0
"160","Charlie-Little Muddy","Irrigation","2013",0
"161","Charlie-Little Muddy","Irrigation","2012",0
"162","Charlie-Little Muddy","Irrigation","2011",0
"163","Charlie-Little Muddy","Irrigation","2010",0
"164","Deep","Industrial","2019",264.4
"165","Deep","Industrial","2018",156
"166","Deep","Industrial","2017",213.6
"167","Deep","Industrial","2016",315.9
"168","Deep","Industrial","2015",394
"169","Deep","Industrial","2014",315.4
"170","Deep","Industrial","2013",344.8
"171","Deep","Industrial","2012",529.1
"172","Deep","Industrial","2011",546.2
"173","Deep","Industrial","2010",469.7
"174","Deep","Irrigation","2019",1.5
"175","Deep","Irrigation","2018",0.1
"176","Deep","Irrigation","2017",2.9
"177","Deep","Irrigation","2016",2.7
"178","Deep","Irrigation","2015",3.5
"179","Deep","Irrigation","2014",2.7
"180","Deep","Irrigation","2013",3
"181","Deep","Irrigation","2012",4.4
"182","Deep","Irrigation","2011",2.2
"183","Deep","Irrigation","2010",3.1
"184","Deep","Municipal","2019",1.6
"185","Deep","Municipal","2018",1.6
"186","Deep","Municipal","2017",0.1
"187","Deep","Municipal","2016",5.8
"188","Deep","Municipal","2015",13.1
"189","Deep","Municipal","2014",12.4
"190","Deep","Municipal","2013",13
"191","Deep","Municipal","2012",11.8
"192","Deep","Municipal","2011",94.5
"193","Deep","Municipal","2010",114.4
