"","water_year","gw_use_af","in_lieu_af","water_use_sum"
"1",1969,194379,0,194379
"2",1970,203923,0,203923
"3",1971,229048,0,229048
"4",1972,214983,0,214983
"5",1973,218863,0,218863
"6",1974,225597,0,225597
"7",1975,245456,0,245456
"8",1976,243511,0,243511
"9",1977,188407,48290,236697
"10",1978,213290,23792,237082
"11",1979,221453,24861,246314
"12",1980,228943,36373,265316
"13",1981,244184,0,244184
"14",1982,249548,0,249548
"15",1983,223207,52822,276029
"16",1984,252070,25198,277268
"17",1985,270932,0,270932
"18",1986,276354,0,276354
"19",1987,265226,18856,284082
"20",1988,275077,15022,290099
"21",1989,261190,38961,300151
"22",1990,266745,44588,311333
"23",1991,271224,39789,311013
"24",1992,273587,38900,312487
"25",1993,264159,48134,312293
"26",1994,298217,15622,313839
"27",1995,324111,5542,329653
"28",1996,331406,7883,339289
"29",1997,313805,15096,328901
"30",1998,342823,13352,356175
"31",1999,345362,38007,383369
"32",2000,350385,18640,369025
"33",2001,352113,19473,371586
"34",2002,297191,61463,358654
"35",2003,284621,52168,336789
"36",2004,244370,69617,313987
"37",2005,228159,89216,317375
"38",2006,299118,50740,349858
"39",2007,366185,0,366185
"40",2008,324147,0,324147
"41",2009,285575,0,285575
"42",2010,259861,10435,270296
"43",2011,241082,40564,281646
"44",2012,309295,0,309295
"45",2013,330782,0,330782
"46",2014,305259,0,305259
"47",2015,277090,0,277090
"48",2016,301637,0,301637
"49",2017,236916,73108,310024
"50",2018,303496,0,303496
