"","year","location","withdrawal_volume_af","use_type"
"1",2018,"Pressure",92010,"agricultural"
"2",2018,"East Side",75629,"agricultural"
"3",2018,"Forebay",138838,"agricultural"
"4",2018,"Upper Valley",126919,"agricultural"
"5",2018,"Pressure",17246,"urban"
"6",2018,"East Side",13938,"urban"
"7",2018,"Forebay",7303,"urban"
"8",2018,"Upper Valley",3418,"urban"
"9",2017,"Pressure",91901,"agricultural"
"10",2017,"East Side",77353,"agricultural"
"11",2017,"Forebay",139359,"agricultural"
"12",2017,"Upper Valley",123446,"agricultural"
"13",2017,"Pressure",15523,"urban"
"14",2017,"East Side",13258,"urban"
"15",2017,"Forebay",6764,"urban"
"16",2017,"Upper Valley",3407,"urban"
"17",2016,"Pressure",98890,"agricultural"
"18",2016,"East Side",80379,"agricultural"
"19",2016,"Forebay",141163,"agricultural"
"20",2016,"Upper Valley",124678,"agricultural"
"21",2016,"Pressure",14605,"urban"
"22",2016,"East Side",11802,"urban"
"23",2016,"Forebay",4866,"urban"
"24",2016,"Upper Valley",2991,"urban"
"25",2015,"Pressure",109214,"agricultural"
"26",2015,"East Side",91491,"agricultural"
"27",2015,"Forebay",142668,"agricultural"
"28",2015,"Upper Valley",134740,"agricultural"
"29",2015,"Pressure",14443,"urban"
"30",2015,"East Side",12631,"urban"
"31",2015,"Forebay",6221,"urban"
"32",2015,"Upper Valley",3306,"urban"
"33",2014,"Pressure",101465,"agricultural"
"34",2014,"East Side",91160,"agricultural"
"35",2014,"Forebay",150890,"agricultural"
"36",2014,"Upper Valley",136645,"agricultural"
"37",2014,"Pressure",19425,"urban"
"38",2014,"East Side",14484,"urban"
"39",2014,"Forebay",6745,"urban"
"40",2014,"Upper Valley",3673,"urban"
"41",2013,"Pressure",98141,"agricultural"
"42",2013,"East Side",82895,"agricultural"
"43",2013,"Forebay",140574,"agricultural"
"44",2013,"Upper Valley",141263,"agricultural"
"45",2013,"Pressure",19101,"urban"
"46",2013,"East Side",14727,"urban"
"47",2013,"Forebay",7893,"urban"
"48",2013,"Upper Valley",3611,"urban"
"49",2012,"Pressure",95814,"agricultural"
"50",2012,"East Side",82451,"agricultural"
"51",2012,"Forebay",135971,"agricultural"
"52",2012,"Upper Valley",132383,"agricultural"
"53",2012,"Pressure",18084,"urban"
"54",2012,"East Side",13092,"urban"
"55",2012,"Forebay",7488,"urban"
"56",2012,"Upper Valley",3957,"urban"
"57",2011,"Pressure",87290,"agricultural"
"58",2011,"East Side",73495,"agricultural"
"59",2011,"Forebay",122903,"agricultural"
"60",2011,"Upper Valley",120422,"agricultural"
"61",2011,"Pressure",17882,"urban"
"62",2011,"East Side",15557,"urban"
"63",2011,"Forebay",6834,"urban"
"64",2011,"Upper Valley",4201,"urban"
"65",2010,"Pressure",87880,"agricultural"
"66",2010,"East Side",74512,"agricultural"
"67",2010,"Forebay",125145,"agricultural"
"68",2010,"Upper Valley",128883,"agricultural"
"69",2010,"Pressure",15663,"urban"
"70",2010,"East Side",16788,"urban"
"71",2010,"Forebay",7002,"urban"
"72",2010,"Upper Valley",4568,"urban"
"73",2009,"Pressure",100966,"agricultural"
"74",2009,"East Side",85202,"agricultural"
"75",2009,"Forebay",140567,"agricultural"
"76",2009,"Upper Valley",138972,"agricultural"
"77",2009,"Pressure",20199,"urban"
"78",2009,"East Side",13786,"urban"
"79",2009,"Forebay",7521,"urban"
"80",2009,"Upper Valley",4011,"urban"
"81",2008,"Pressure",108335,"agricultural"
"82",2008,"East Side",93283,"agricultural"
"83",2008,"Forebay",149565,"agricultural"
"84",2008,"Upper Valley",125941,"agricultural"
"85",2008,"Pressure",21804,"urban"
"86",2008,"East Side",15413,"urban"
"87",2008,"Forebay",8657,"urban"
"88",2008,"Upper Valley",4173,"urban"
"89",2007,"Pressure",103803,"agricultural"
"90",2007,"East Side",89065,"agricultural"
"91",2007,"Forebay",149723,"agricultural"
"92",2007,"Upper Valley",132564,"agricultural"
"93",2007,"Pressure",21817,"urban"
"94",2007,"East Side",15118,"urban"
"95",2007,"Forebay",9052,"urban"
"96",2007,"Upper Valley",4453,"urban"
"97",2006,"Pressure",91836,"agricultural"
"98",2006,"East Side",80652,"agricultural"
"99",2006,"Forebay",130249,"agricultural"
"100",2006,"Upper Valley",118897,"agricultural"
"101",2006,"Pressure",20695,"urban"
"102",2006,"East Side",14515,"urban"
"103",2006,"Forebay",9822,"urban"
"104",2006,"Upper Valley",4574,"urban"
"105",2005,"Pressure",97028,"agricultural"
"106",2005,"East Side",80100,"agricultural"
"107",2005,"Forebay",139951,"agricultural"
"108",2005,"Upper Valley",126488,"agricultural"
"109",2005,"Pressure",21344,"urban"
"110",2005,"East Side",16028,"urban"
"111",2005,"Forebay",8571,"urban"
"112",2005,"Upper Valley",4536,"urban"
"113",2004,"Pressure",102137,"agricultural"
"114",2004,"East Side",95313,"agricultural"
"115",2004,"Forebay",146718,"agricultural"
"116",2004,"Upper Valley",126884,"agricultural"
"117",2004,"Pressure",23317,"urban"
"118",2004,"East Side",16888,"urban"
"119",2004,"Forebay",8225,"urban"
"120",2004,"Upper Valley",4632,"urban"
"121",2003,"Pressure",97947,"agricultural"
"122",2003,"East Side",88763,"agricultural"
"123",2003,"Forebay",141778,"agricultural"
"124",2003,"Upper Valley",122376,"agricultural"
"125",2003,"Pressure",23236,"urban"
"126",2003,"East Side",14675,"urban"
"127",2003,"Forebay",7936,"urban"
"128",2003,"Upper Valley",4625,"urban"
"129",2002,"Pressure",100392,"agricultural"
"130",2002,"East Side",86293,"agricultural"
"131",2002,"Forebay",147374,"agricultural"
"132",2002,"Upper Valley",139188,"agricultural"
"133",2002,"Pressure",22886,"urban"
"134",2002,"East Side",12532,"urban"
"135",2002,"Forebay",6993,"urban"
"136",2002,"Upper Valley",4545,"urban"
"137",2001,"Pressure",88168,"agricultural"
"138",2001,"East Side",73272,"agricultural"
"139",2001,"Forebay",134571,"agricultural"
"140",2001,"Upper Valley",107572,"agricultural"
"141",2001,"Pressure",20524,"urban"
"142",2001,"East Side",8000,"urban"
"143",2001,"Forebay",5175,"urban"
"144",2001,"Upper Valley",3995,"urban"
"145",2000,"Pressure",94151,"agricultural"
"146",2000,"East Side",81406,"agricultural"
