"","year","county","use_type","use_acre_ft"
"1",1984,"ANDERSON","irrigation",113
"2",1984,"ANDERSON","livestock",599
"3",1984,"ANDERSON","manufacturing",455
"4",1984,"ANDERSON","mining",329
"5",1984,"ANDERSON","municipal",4378
"6",1984,"ANDERSON","steam_electric_power",0
"7",1984,"ANDREWS","irrigation",3605
"8",1984,"ANDREWS","livestock",407
"9",1984,"ANDREWS","manufacturing",8
"10",1984,"ANDREWS","mining",4395
"11",1984,"ANDREWS","municipal",3316
"12",1984,"ANDREWS","steam_electric_power",0
"13",1984,"ANGELINA","irrigation",563
"14",1984,"ANGELINA","livestock",243
"15",1984,"ANGELINA","manufacturing",20286
"16",1984,"ANGELINA","mining",0
"17",1984,"ANGELINA","municipal",10680
"18",1984,"ANGELINA","steam_electric_power",0
"19",1984,"ARANSAS","irrigation",0
"20",1984,"ARANSAS","livestock",3
"21",1984,"ARANSAS","manufacturing",0
"22",1984,"ARANSAS","mining",0
"23",1984,"ARANSAS","municipal",347
"24",1984,"ARANSAS","steam_electric_power",0
"25",1984,"ARCHER","irrigation",0
"26",1984,"ARCHER","livestock",144
"27",1984,"ARCHER","manufacturing",0
"28",1984,"ARCHER","mining",452
"29",1984,"ARCHER","municipal",20
"30",1984,"ARCHER","steam_electric_power",0
"31",1984,"ARMSTRONG","irrigation",7097
"32",1984,"ARMSTRONG","livestock",447
"33",1984,"ARMSTRONG","manufacturing",0
"34",1984,"ARMSTRONG","mining",24
"35",1984,"ARMSTRONG","municipal",335
"36",1984,"ARMSTRONG","steam_electric_power",0
"37",1984,"ATASCOSA","irrigation",35039
"38",1984,"ATASCOSA","livestock",191
"39",1984,"ATASCOSA","manufacturing",3
"40",1984,"ATASCOSA","mining",949
"41",1984,"ATASCOSA","municipal",7224
"42",1984,"ATASCOSA","steam_electric_power",5792
"43",1984,"AUSTIN","irrigation",8754
"44",1984,"AUSTIN","livestock",192
"45",1984,"AUSTIN","manufacturing",33
"46",1984,"AUSTIN","mining",24
"47",1984,"AUSTIN","municipal",3256
"48",1984,"AUSTIN","steam_electric_power",0
"49",1984,"BAILEY","irrigation",149132
"50",1984,"BAILEY","livestock",1057
"51",1984,"BAILEY","manufacturing",13
"52",1984,"BAILEY","mining",24
"53",1984,"BAILEY","municipal",1462
