County,Gallons from Great Lakes,Gallons from Groundwater,Gallons from Inland Surface,Total Gallons All Sources,Year
Alcona,0,"181,118,378","13,326,762","194,445,140",2018
Alger,"1,664,200,000","275,161,275",0,"1,939,361,275",2018
Allegan,0,"5,505,619,266","2,462,092,403","7,967,711,669",2018
Alpena,"522,118,305,000","19,467,720","22,094,356,950","544,232,129,670",2018
Antrim,0,"2,542,155,272","41,232,565","2,583,387,837",2018
Arenac,"18,711,323,766","73,346,796","62,893,523","18,847,564,085",2018
Baraga,"6,085,516,444",0,0,"6,085,516,444",2018
Barry,0,"1,863,886,371","333,041,138","2,196,927,509",2018
Bay,"2,791,318,900","58,702,447","94,894,104,394","97,744,125,741",2018
Benzie,0,"1,210,747,045","5,076,382,080","6,287,129,125",2018
Berrien,"777,316,773,000","3,751,735,766","496,034,567","781,564,543,333",2018
Branch,0,"5,817,177,286","2,034,301,053","7,851,478,339",2018
Calhoun,0,"8,368,333,026","1,313,432,669","9,681,765,695",2018
Cass,0,"8,585,282,805","596,831,930","9,182,114,735",2018
Charlevoix,"250,939,000","4,837,065,884","961,648,628","6,049,653,512",2018
Cheboygan,0,"407,719,342","398,315,605","806,034,947",2018
Chippewa,"590,540,000","349,428,709",0,"939,968,709",2018
Clare,0,"565,607,588","899,124,000","1,464,731,588",2018
Clinton,0,"1,260,955,229","1,019,288,129","2,280,243,358",2018
Crawford,0,"473,040,449","3,028,529,126","3,501,569,575",2018
Delta,"14,995,625,000","101,644,137","173,752,152","15,271,021,289",2018
Dickinson,0,"827,286,595","7,211,615,215","8,038,901,810",2018
Eaton,0,"1,099,727,576","467,004,061","1,566,731,637",2018
Emmet,"80,500,000","2,624,867,865","72,370,000","2,777,737,865",2018
Genesee,0,"1,534,256,755","48,403,230","1,582,659,985",2018
Gladwin,0,"151,230,807","840,200","152,071,007",2018
Gogebic,0,"612,118,960","42,000,000","654,118,960",2018
Grand Traverse,"2,025,967,000","1,099,087,139","60,439,794","3,185,493,933",2018
Gratiot,0,"2,762,957,392","323,737,518","3,086,694,910",2018
Hillsdale,0,"3,048,473,718","389,267,291","3,437,741,009",2018
Houghton,0,"958,666,511","6,939,000","965,605,511",2018
Huron,"667,426,000","422,743,030","282,748,526","1,372,917,556",2018
Ingham,0,"12,421,038,254","36,181,892,049","48,602,930,303",2018
Ionia,0,"2,364,320,896","193,133,159","2,557,454,055",2018
Iosco,"413,849,200","369,222,265","12,526,994","795,598,459",2018
Iron,0,"451,701,400","21,477,538","473,178,938",2018
Isabella,0,"2,671,982,097","780,872,542","3,452,854,639",2018
Jackson,0,"6,811,019,480","517,194,671","7,328,214,151",2018
Kalamazoo,0,"20,493,341,760","2,590,514,858","23,083,856,618",2018
Kalkaska,0,"940,217,686","256,944,981","1,197,162,667",2018
Kent,"26,667,120,000","4,992,560,404","965,512,641","32,625,193,045",2018
Keweenaw,"2,044,673","16,964,158",0,"19,008,831",2018
Lake,0,"72,308,915",0,"72,308,915",2018
Lapeer,0,"222,819,275","121,475,853","344,295,128",2018
Leelanau,"8,707,000","568,097,019","38,922,587","615,726,606",2018
Lenawee,0,"2,107,026,303","1,479,670,235","3,586,696,538",2018
Livingston,0,"3,297,403,241","813,511,769","4,110,915,010",2018
Luce,0,"328,375,665",0,"328,375,665",2018
Mackinac,"4,165,928,100","74,592,000","7,195,000","4,247,715,100",2018
Macomb,"1,170,700,000","443,660,660","415,016,085","2,029,376,745",2018
Manistee,0,"1,251,225,633","11,830,220,064","13,081,445,697",2018
Marquette,"59,231,623,464","1,480,887,119","11,355,780,457","72,068,291,040",2018
Mason,"1,077,717,000","772,567,028","8,695,529,128","10,545,813,156",2018
Mecosta,0,"3,635,146,908","379,542,731","4,014,689,639",2018
Menominee,"318,580,000","64,962,511","14,050,000","397,592,511",2018
Midland,0,"253,422,601","4,899,775,671","5,153,198,272",2018
Missaukee,0,"1,769,726,471","182,310,478","1,952,036,949",2018
Monroe,"574,035,427,428","10,253,980,736","414,719,219","584,704,127,383",2018
Montcalm,0,"10,555,227,714","3,303,087,053","13,858,314,767",2018
Montmorency,0,"92,719,454",0,"92,719,454",2018
Muskegon,"4,585,524,000","2,597,266,931","2,094,294,351","9,277,085,282",2018
Newaygo,0,"2,450,909,364","491,269,905","2,942,179,269",2018
Oakland,0,"10,041,027,007","4,930,275,626","14,971,302,633",2018
Oceana,0,"2,085,770,647","193,533,371","2,279,304,018",2018
Ogemaw,0,"189,031,431","185,838,153","374,869,584",2018
Ontonagon,"142,170,000","22,010,060",0,"164,180,060",2018
Osceola,0,"960,286,237","154,935,800","1,115,222,037",2018
Oscoda,0,"64,061,624","74,400,000","138,461,624",2018
Otsego,0,"697,481,905","135,000,000","832,481,905",2018
Ottawa,"248,910,034,787","3,145,812,582","11,680,091,533","263,735,938,902",2018
Presque Isle,"1,572,293,919","7,838,910,789","8,750,462,102","18,161,666,810",2018
Roscommon,0,"156,506,167","65,617,920","222,124,087",2018
Saginaw,0,"328,981,719","129,543,278","458,524,997",2018
Saint Clair,"468,014,123,631","195,073,091","62,517,462","468,271,714,184",2018
Saint Joseph,0,"17,628,345,695","3,351,246,637","20,979,592,332",2018
Sanilac,"122,032,000","711,429,009","91,253,249","924,714,258",2018
Schoolcraft,"1,953,142,000","3,051,178,708","2,617,561,000","7,621,881,708",2018
Shiawassee,0,"1,105,056,047","120,243,600","1,225,299,647",2018
Tuscola,0,"1,070,435,906","884,808,083","1,955,243,989",2018
Van Buren,"43,229,591,000","6,302,208,571","403,149,836","49,934,949,407",2018
Washtenaw,0,"3,598,317,156","5,101,880,302","8,700,197,458",2018
Wayne,"373,596,175,424","754,894,482","144,705,306,530","519,056,376,436",2018
Wexford,0,"1,890,096,441","3,149,282,050","5,039,378,491",2018
Alcona,0,"194,937,259","264,689,000","459,626,259",2017
Alger,"1,520,550,000","261,145,386",0,"1,781,695,386",2017
Allegan,0,"6,709,805,404","5,587,677,768","12,297,483,172",2017
Alpena,"41,415,820,000","10,845,281","2,470,771,681","43,897,436,962",2017
Antrim,0,"2,541,812,142","23,891,119","2,565,703,261",2017
Arenac,"18,653,610,578","45,036,171","99,183,431","18,797,830,180",2017
Baraga,"5,927,985,000",0,0,"5,927,985,000",2017
Barry,0,"2,140,995,291","691,786,246","2,832,781,537",2017
Bay,"2,647,607,467","89,079,570","103,031,663,505","105,768,350,542",2017
Benzie,0,"913,805,628","2,719,472,030","3,633,277,658",2017
Berrien,"785,999,448,000","4,782,829,290","838,745,526","791,621,022,816",2017
Branch,0,"9,009,024,525","4,266,148,381","13,275,172,906",2017
Calhoun,0,"9,683,173,672","1,710,136,478","11,393,310,150",2017
Cass,0,"13,271,899,985","1,072,212,393","14,344,112,378",2017
Charlevoix,"238,606,000","5,269,712,890","1,053,284,472","6,561,603,362",2017
Cheboygan,0,"343,531,242","54,741,146","398,272,388",2017
Chippewa,"876,705,000","334,578,595",0,"1,211,283,595",2017
Clare,0,"553,830,196","750,480,000","1,304,310,196",2017
Clinton,0,"1,334,882,763","1,081,868,844","2,416,751,607",2017
Crawford,0,"409,624,528","129,150,000","538,774,528",2017
Delta,"14,587,952,400","85,849,338","213,356,023","14,887,157,761",2017
Dickinson,0,"756,311,740","7,347,286,260","8,103,598,000",2017
Eaton,0,"1,071,182,271","628,654,001","1,699,836,272",2017
Emmet,"54,500,000","1,931,231,230","110,900,000","2,096,631,230",2017
Genesee,0,"1,569,466,853","159,683,682","1,729,150,535",2017
Gladwin,0,"150,198,264","1,458,000","151,656,264",2017
Gogebic,0,"687,847,994","27,000,000","714,847,994",2017
