Apple Creek,Industrial,Year,Acre Feet,Acres
Apple Creek,Industrial,2019,454.5,0
Apple Creek,Industrial,2018,20.6,0
Apple Creek,Industrial,2017,20.9,0
Apple Creek,Industrial,2016,21.8,0
Apple Creek,Industrial,2015,41.5,0
Apple Creek,Industrial,2014,64.9,0
Apple Creek,Industrial,2013,76.2,0
Apple Creek,Industrial,2012,75,0
Apple Creek,Industrial,2011,69,0
Apple Creek,Industrial,2010,87.6,0
Apple Creek,Irrigation,Year,Acre Feet,Acres
Apple Creek,Irrigation,2019,9137.1,34727.5
Apple Creek,Irrigation,2018,20381,36513.4
Apple Creek,Irrigation,2017,28137.4,35567
Apple Creek,Irrigation,2016,21686.8,35794.2
Apple Creek,Irrigation,2015,22364.8,34349.5
Apple Creek,Irrigation,2014,20599.6,32500.2
Apple Creek,Irrigation,2013,28582.6,31918.8
Apple Creek,Irrigation,2012,22605.8,29898.7
Apple Creek,Irrigation,2011,13673.8,29636.8
Apple Creek,Irrigation,2010,19388,30496.2
Apple Creek,Municipal,Year,Acre Feet,Acres
Apple Creek,Municipal,2019,257.9,0
Apple Creek,Municipal,2018,269.5,0
Apple Creek,Municipal,2017,289.3,0
Apple Creek,Municipal,2016,281.4,0
Apple Creek,Municipal,2015,307.8,0
Apple Creek,Municipal,2014,331.9,0
Apple Creek,Municipal,2013,330.4,0
Apple Creek,Municipal,2012,302.9,0
Apple Creek,Municipal,2011,294.6,0
Apple Creek,Municipal,2010,327.7,0
Apple Creek,Rural Water,Year,Acre Feet,Acres
Apple Creek,Rural Water,2019,4.3,0
Apple Creek,Rural Water,2018,4.3,0
Apple Creek,Rural Water,2017,4.3,0
Apple Creek,Rural Water,2016,4.3,0
Apple Creek,Rural Water,2015,4.3,0
Apple Creek,Rural Water,2014,4.2,0
Apple Creek,Rural Water,2013,4.1,0
Apple Creek,Rural Water,2012,4.2,0
Apple Creek,Rural Water,2011,4.3,0
Apple Creek,Rural Water,2010,4.3,0
Beaver,Industrial,Year,Acre Feet,Acres
Beaver,Industrial,2019,4.7,0
Beaver,Industrial,2018,4.6,0
Beaver,Industrial,2017,4.3,0
Beaver,Industrial,2016,3.4,0
Beaver,Industrial,2015,3.6,0
Beaver,Industrial,2014,2.3,0
Beaver,Industrial,2013,1.6,0
Beaver,Industrial,2012,1.7,0
Beaver,Industrial,2011,0.8,0
Beaver,Industrial,2010,0.5,0
Beaver,Irrigation,Year,Acre Feet,Acres
Beaver,Irrigation,2019,222.8,1252
Beaver,Irrigation,2018,913.6,1252
Beaver,Irrigation,2017,1035.9,1392.2
Beaver,Irrigation,2016,720.5,978
Beaver,Irrigation,2015,737.9,836
Beaver,Irrigation,2014,567.4,750
Beaver,Irrigation,2013,965.8,882
Beaver,Irrigation,2012,1072.5,872
Beaver,Irrigation,2011,471.6,797
Beaver,Irrigation,2010,552.1,825
Beaver,Municipal,Year,Acre Feet,Acres
Beaver,Municipal,2019,138.9,0
Beaver,Municipal,2018,138.4,0
Beaver,Municipal,2017,128.3,0
Beaver,Municipal,2016,103.6,0
Beaver,Municipal,2015,138.2,0
Beaver,Municipal,2014,169.4,0
Beaver,Municipal,2013,222,0
Beaver,Municipal,2012,255.9,0
Beaver,Municipal,2011,338,0
Beaver,Municipal,2010,350.9,0
Beaver,Rural Water,Year,Acre Feet,Acres
Beaver,Rural Water,2019,0.1,0
Beaver,Rural Water,2018,0.1,0
Beaver,Rural Water,2017,0.1,0
Beaver,Rural Water,2016,0.2,0
Beaver,Rural Water,2015,0.2,0
Beaver,Rural Water,2014,0.8,0
Beaver,Rural Water,2013,0.8,0
Beaver,Rural Water,2012,1,0
Beaver,Rural Water,2011,1,0
Beaver,Rural Water,2010,0.7,0
Bois De Sioux,Industrial,Year,Acre Feet,Acres
Bois De Sioux,Industrial,2019,60.4,0
Bois De Sioux,Industrial,2018,56.8,0
Bois De Sioux,Industrial,2017,57.4,0
Bois De Sioux,Industrial,2016,55.5,0
Bois De Sioux,Industrial,2014,70.3,0
Bois De Sioux,Industrial,2013,57.5,0
Bois De Sioux,Industrial,2012,61.1,0
Bois De Sioux,Industrial,2011,41.1,0
Bois De Sioux,Industrial,2010,39.6,0
Bois De Sioux,Irrigation,Year,Acre Feet,Acres
Bois De Sioux,Irrigation,2019,0,0
Bois De Sioux,Irrigation,2018,5.8,108.1
Bois De Sioux,Irrigation,2017,35.2,108.1
Bois De Sioux,Irrigation,2016,60.2,108.1
Bois De Sioux,Irrigation,2015,67,106
Bois De Sioux,Irrigation,2014,51.4,106
Bois De Sioux,Irrigation,2013,66.4,106
Bois De Sioux,Irrigation,2012,72.6,106
Bois De Sioux,Municipal,Year,Acre Feet,Acres
Bois De Sioux,Municipal,2019,30.9,0
Bois De Sioux,Municipal,2018,33.1,0
Bois De Sioux,Municipal,2017,36.8,0
Bois De Sioux,Municipal,2016,42.4,0
Bois De Sioux,Municipal,2015,40.2,0
Bois De Sioux,Municipal,2014,32.1,0
Bois De Sioux,Municipal,2013,38.3,0
Bois De Sioux,Municipal,2012,34.7,0
Bois De Sioux,Municipal,2011,33.2,0
Bois De Sioux,Municipal,2010,32.6,0
Brush Lake Closed Basin,Industrial,Year,Acre Feet,Acres
Brush Lake Closed Basin,Industrial,2019,10.1,0
Brush Lake Closed Basin,Industrial,2018,20.4,0
Brush Lake Closed Basin,Industrial,2017,16.1,0
Brush Lake Closed Basin,Industrial,2016,69.5,0
Brush Lake Closed Basin,Industrial,2015,106.2,0
Brush Lake Closed Basin,Industrial,2014,147.1,0
Brush Lake Closed Basin,Industrial,2013,217.5,0
Brush Lake Closed Basin,Industrial,2012,179,0
Brush Lake Closed Basin,Industrial,2011,117.4,0
Brush Lake Closed Basin,Industrial,2010,10.9,0
Brush Lake Closed Basin,Irrigation,Year,Acre Feet,Acres
Brush Lake Closed Basin,Irrigation,2019,1351.8,2072.2
Brush Lake Closed Basin,Irrigation,2018,1682.3,2190.1
Brush Lake Closed Basin,Irrigation,2017,2500.7,2473.1
Brush Lake Closed Basin,Irrigation,2016,1798.8,2493.3
Brush Lake Closed Basin,Irrigation,2015,1481.2,2202.1
Brush Lake Closed Basin,Irrigation,2014,1654,2461.1
Brush Lake Closed Basin,Irrigation,2013,1320.7,1676
Brush Lake Closed Basin,Irrigation,2012,1691,2073
Brush Lake Closed Basin,Irrigation,2011,1657.4,2213.4
Brush Lake Closed Basin,Irrigation,2010,1931.1,2718.4
Brush Lake Closed Basin,Municipal,Year,Acre Feet,Acres
Brush Lake Closed Basin,Municipal,2019,38.2,0
Brush Lake Closed Basin,Municipal,2018,35.5,0
Brush Lake Closed Basin,Municipal,2017,44.4,0
Brush Lake Closed Basin,Municipal,2016,7.8,0
Brush Lake Closed Basin,Municipal,2015,9.3,0
Brush Lake Closed Basin,Municipal,2014,19.6,0
Brush Lake Closed Basin,Municipal,2013,26.6,0
Brush Lake Closed Basin,Municipal,2012,39.3,0
Brush Lake Closed Basin,Municipal,2011,22.1,0
Brush Lake Closed Basin,Municipal,2010,27.1,0
Cedar,Industrial,Year,Acre Feet,Acres
Cedar,Industrial,2015,0,0
Cedar,Industrial,2014,0,0
Cedar,Industrial,2013,0,0
Cedar,Industrial,2012,0,0
Cedar,Industrial,2011,0,0
Cedar,Industrial,2010,0,0
Charlie-Little Muddy,Industrial,Year,Acre Feet,Acres
Charlie-Little Muddy,Industrial,2019,91.4,0
Charlie-Little Muddy,Industrial,2018,118.3,0
Charlie-Little Muddy,Industrial,2017,119.8,0
Charlie-Little Muddy,Industrial,2016,133.8,0
Charlie-Little Muddy,Industrial,2015,164.8,0
Charlie-Little Muddy,Industrial,2014,113.6,0
Charlie-Little Muddy,Industrial,2013,11.1,0
Charlie-Little Muddy,Industrial,2012,7.6,0
Charlie-Little Muddy,Industrial,2011,0.8,0
Charlie-Little Muddy,Industrial,2010,0.8,0
Charlie-Little Muddy,Irrigation,Year,Acre Feet,Acres
Charlie-Little Muddy,Irrigation,2019,0,0
Charlie-Little Muddy,Irrigation,2018,0,0
Charlie-Little Muddy,Irrigation,2017,0,0
Charlie-Little Muddy,Irrigation,2016,0,0
Charlie-Little Muddy,Irrigation,2015,0,0
Charlie-Little Muddy,Irrigation,2014,0,0
Charlie-Little Muddy,Irrigation,2013,0,0
Charlie-Little Muddy,Irrigation,2012,0,0
Charlie-Little Muddy,Irrigation,2011,0,0
Charlie-Little Muddy,Irrigation,2010,0,0
Deep,Industrial,Year,Acre Feet,Acres
Deep,Industrial,2019,264.4,0
Deep,Industrial,2018,156,0
Deep,Industrial,2017,213.6,0
Deep,Industrial,2016,315.9,0
Deep,Industrial,2015,394,0
Deep,Industrial,2014,315.4,0
Deep,Industrial,2013,344.8,0
Deep,Industrial,2012,529.1,0
Deep,Industrial,2011,546.2,0
Deep,Industrial,2010,469.7,0
Deep,Irrigation,Year,Acre Feet,Acres
Deep,Irrigation,2019,1.5,100
Deep,Irrigation,2018,0.1,100
Deep,Irrigation,2017,2.9,100
Deep,Irrigation,2016,2.7,100
Deep,Irrigation,2015,3.5,100
Deep,Irrigation,2014,2.7,100
Deep,Irrigation,2013,3,100
Deep,Irrigation,2012,4.4,100
Deep,Irrigation,2011,2.2,100
Deep,Irrigation,2010,3.1,100
Deep,Municipal,Year,Acre Feet,Acres
Deep,Municipal,2019,1.6,0
Deep,Municipal,2018,1.6,0
Deep,Municipal,2017,0.1,0
Deep,Municipal,2016,5.8,0
Deep,Municipal,2015,13.1,0
Deep,Municipal,2014,12.4,0
Deep,Municipal,2013,13,0
Deep,Municipal,2012,11.8,0
Deep,Municipal,2011,94.5,0
Deep,Municipal,2010,114.4,0
Deep,Rural Water,Year,Acre Feet,Acres
Deep,Rural Water,2019,0,0
Deep,Rural Water,2018,0,0
Deep,Rural Water,2017,0,0
Deep,Rural Water,2016,0,0
Deep,Rural Water,2015,0,0
Deep,Rural Water,2014,0,0
Deep,Rural Water,2013,86.7,0
Deep,Rural Water,2012,86,0
Deep,Rural Water,2011,80.8,0
Deep,Rural Water,2010,84.4,0
Des Lacs,Industrial,Year,Acre Feet,Acres
Des Lacs,Industrial,2019,19.3,0
Des Lacs,Industrial,2018,28.4,0
Des Lacs,Industrial,2017,38.2,0
Des Lacs,Industrial,2016,27.7,0
Des Lacs,Industrial,2015,15.4,0
Des Lacs,Industrial,2014,17.2,0
Des Lacs,Industrial,2013,5.1,0
Des Lacs,Industrial,2012,157.4,0
Des Lacs,Industrial,2011,107.7,0
Des Lacs,Industrial,2010,77.1,0
Des Lacs,Irrigation,Year,Acre Feet,Acres
Des Lacs,Irrigation,2012,48.7,45
Des Lacs,Irrigation,2011,48.8,45
Des Lacs,Irrigation,2010,48.7,45
Des Lacs,Municipal,Year,Acre Feet,Acres
Des Lacs,Municipal,2019,33.5,0
Des Lacs,Municipal,2018,50.8,0
Des Lacs,Municipal,2017,36.1,0
Des Lacs,Municipal,2016,36.3,0
Des Lacs,Municipal,2015,38.9,0
Des Lacs,Municipal,2014,39,0
Des Lacs,Municipal,2013,35.8,0
Des Lacs,Municipal,2012,112.9,0
Des Lacs,Municipal,2011,51,0
Des Lacs,Municipal,2010,62.6,0
Des Lacs,Rural Water,Year,Acre Feet,Acres
Des Lacs,Rural Water,2019,102.9,0
Des Lacs,Rural Water,2018,240.7,0
Des Lacs,Rural Water,2017,218.4,0
Des Lacs,Rural Water,2016,185.3,0
Des Lacs,Rural Water,2015,197.4,0
Des Lacs,Rural Water,2014,184.2,0
Des Lacs,Rural Water,2013,200.3,0
Des Lacs,Rural Water,2012,117.2,0
Des Lacs,Rural Water,2011,119.4,0
Des Lacs,Rural Water,2010,112.2,0
Devils Lake,Industrial,Year,Acre Feet,Acres
Devils Lake,Industrial,2016,0,0
Devils Lake,Industrial,2015,0,0
Devils Lake,Industrial,2014,0,0
Devils Lake,Industrial,2013,0,0
Devils Lake,Industrial,2012,0,0
Devils Lake,Industrial,2011,0,0
Devils Lake,Industrial,2010,0,0
Devils Lake,Irrigation,Year,Acre Feet,Acres
Devils Lake,Irrigation,2019,684.3,1517
Devils Lake,Irrigation,2018,780.3,1385
Devils Lake,Irrigation,2017,908.1,1452
Devils Lake,Irrigation,2016,264.1,882
Devils Lake,Irrigation,2015,422.1,1591
Devils Lake,Irrigation,2014,605.7,1749
Devils Lake,Irrigation,2013,937.9,2059
Devils Lake,Irrigation,2012,733.5,1915
Devils Lake,Irrigation,2011,568.7,1699
Devils Lake,Irrigation,2010,888.2,2213
Devils Lake,Multiple Use,Year,Acre Feet,Acres
Devils Lake,Multiple Use,2015,0,0
Devils Lake,Multiple Use,2014,0,0
Devils Lake,Multiple Use,2013,0,0
Devils Lake,Multiple Use,2012,0,0
Devils Lake,Multiple Use,2011,0,0
Devils Lake,Multiple Use,2010,0,0
Devils Lake,Municipal,Year,Acre Feet,Acres
Devils Lake,Municipal,2019,248,0
Devils Lake,Municipal,2018,265.2,0
Devils Lake,Municipal,2017,429,0
Devils Lake,Municipal,2016,519.6,0
Devils Lake,Municipal,2015,499.6,0
Devils Lake,Municipal,2014,476.3,0
Devils Lake,Municipal,2013,337.5,0
Devils Lake,Municipal,2012,482.4,0
Devils Lake,Municipal,2011,481.9,0
Devils Lake,Municipal,2010,462.3,0
Elm,Industrial,Year,Acre Feet,Acres
Elm,Industrial,2019,0,0
Elm,Industrial,2018,0,0
Elm,Industrial,2017,0,0
Elm,Industrial,2016,0,0
Elm,Industrial,2015,0.5,0
Elm,Industrial,2014,0.5,0
Elm,Industrial,2013,0.3,0
Elm,Industrial,2012,0.7,0
Elm,Industrial,2011,0.7,0
Elm,Industrial,2010,1.1,0
Elm,Irrigation,Year,Acre Feet,Acres
Elm,Irrigation,2019,395,1026
Elm,Irrigation,2018,550.5,971
Elm,Irrigation,2017,673.6,1042
Elm,Irrigation,2016,375.5,733
Elm,Irrigation,2015,518.6,1169
Elm,Irrigation,2014,415.9,979
Elm,Irrigation,2013,733.5,1016
Elm,Irrigation,2012,563.7,1016
Elm,Irrigation,2011,170,360
Elm,Irrigation,2010,335.1,747
Elm,Municipal,Year,Acre Feet,Acres
Elm,Municipal,2019,0,0
Elm,Municipal,2018,0,0
Elm,Municipal,2017,0,0
Elm,Municipal,2016,0,0
Elm,Municipal,2015,0,0
Elm,Municipal,2014,0,0
Elm,Municipal,2013,0,0
Elm,Municipal,2012,7.4,0
Elm,Municipal,2011,6.7,0
Elm,Municipal,2010,4.3,0
Elm-Marsh,Irrigation,Year,Acre Feet,Acres
Elm-Marsh,Irrigation,2019,810,7757
Elm-Marsh,Irrigation,2018,3126.6,10078.4
Elm-Marsh,Irrigation,2017,3107.3,10232.2
Elm-Marsh,Irrigation,2016,2625.1,10376.3
Elm-Marsh,Irrigation,2015,2795.4,10316.3
Elm-Marsh,Irrigation,2014,2909.7,9730
Elm-Marsh,Irrigation,2013,4882.1,9335
Elm-Marsh,Irrigation,2012,4346,9341
Elm-Marsh,Irrigation,2011,635.3,4034
Elm-Marsh,Irrigation,2010,1645.3,8019
Elm-Marsh,Municipal,Year,Acre Feet,Acres
Elm-Marsh,Municipal,2019,0,0
Elm-Marsh,Municipal,2018,0.1,0
Elm-Marsh,Municipal,2017,0,0
Elm-Marsh,Municipal,2016,0,0
Elm-Marsh,Municipal,2015,0,0
Elm-Marsh,Municipal,2014,0,0
Elm-Marsh,Municipal,2013,0,0
Elm-Marsh,Municipal,2012,0.5,0
Elm-Marsh,Municipal,2011,0,0
Elm-Marsh,Municipal,2010,0.6,0
Elm-Marsh,Rural Water,Year,Acre Feet,Acres
Elm-Marsh,Rural Water,2019,436.4,0
Elm-Marsh,Rural Water,2018,485,0
Elm-Marsh,Rural Water,2017,389.5,0
Elm-Marsh,Rural Water,2016,413.7,0
Elm-Marsh,Rural Water,2015,351.5,0
Elm-Marsh,Rural Water,2014,252.7,0
Elm-Marsh,Rural Water,2013,235.3,0
Elm-Marsh,Rural Water,2012,202.6,0
Elm-Marsh,Rural Water,2011,194.6,0
Elm-Marsh,Rural Water,2010,138.4,0
Forest,Domestic,Year,Acre Feet,Acres
Forest,Domestic,2019,39,0
Forest,Domestic,2018,61.7,0
Forest,Domestic,2017,68.4,0
Forest,Domestic,2016,66,0
Forest,Domestic,2015,64.5,0
Forest,Domestic,2014,59.8,0
Forest,Domestic,2013,48.9,0
Forest,Domestic,2012,56.2,0
Forest,Domestic,2011,56,0
Forest,Domestic,2010,54.6,0
Forest,Industrial,Year,Acre Feet,Acres
Forest,Industrial,2019,5.1,0
Forest,Industrial,2018,4.2,0
Forest,Industrial,2017,3.4,0
Forest,Industrial,2016,3.6,0
Forest,Industrial,2015,5.3,0
Forest,Industrial,2014,4.2,0
Forest,Industrial,2013,3.5,0
Forest,Industrial,2012,4.4,0
Forest,Industrial,2011,4.5,0
Forest,Industrial,2010,3.1,0
Forest,Irrigation,Year,Acre Feet,Acres
Forest,Irrigation,2019,1409.5,2777.5
Forest,Irrigation,2018,1588.4,2985.1
Forest,Irrigation,2017,1534.4,2743.1
Forest,Irrigation,2016,998.6,2681.5
Forest,Irrigation,2015,1398.6,2795
Forest,Irrigation,2014,1145.6,2915.8
Forest,Irrigation,2013,1596,2570.4
Forest,Irrigation,2012,1882.9,2553.6
Forest,Irrigation,2011,1311.6,2475.1
Forest,Irrigation,2010,1292.6,2361.8
Forest,Municipal,Year,Acre Feet,Acres
Forest,Municipal,2019,233.6,0
Forest,Municipal,2018,217,0
Forest,Municipal,2017,230.2,0
Forest,Municipal,2016,213,0
Forest,Municipal,2015,218,0
Forest,Municipal,2014,167.2,0
Forest,Municipal,2013,210.1,0
Forest,Municipal,2012,209.5,0
Forest,Municipal,2011,203,0
Forest,Municipal,2010,202,0
Forest,Rural Water,Year,Acre Feet,Acres
Forest,Rural Water,2019,544.5,0
Forest,Rural Water,2018,700.4,0
Forest,Rural Water,2017,717.8,0
Forest,Rural Water,2016,689.6,0
Forest,Rural Water,2015,747.9,0
Forest,Rural Water,2014,794.1,0
Forest,Rural Water,2013,797.4,0
Forest,Rural Water,2012,861.8,0
Forest,Rural Water,2011,514.9,0
Forest,Rural Water,2010,379.7,0
Goose,Industrial,Year,Acre Feet,Acres
Goose,Industrial,2019,0.1,0
Goose,Industrial,2018,0.1,0
Goose,Industrial,2017,0.1,0
Goose,Industrial,2016,0.1,0
Goose,Industrial,2015,0.1,0
Goose,Industrial,2014,0.1,0
Goose,Industrial,2013,0.1,0
Goose,Industrial,2012,0.1,0
Goose,Industrial,2011,0.2,0
Goose,Industrial,2010,0.2,0
Goose,Irrigation,Year,Acre Feet,Acres
Goose,Irrigation,2019,381.8,2989
Goose,Irrigation,2018,2563.7,6373.6
Goose,Irrigation,2017,2929.2,6346.2
Goose,Irrigation,2016,1797.7,5833.8
Goose,Irrigation,2015,1048.4,5543.1
Goose,Irrigation,2014,1033.8,3657.1
Goose,Irrigation,2013,1725.7,3242
Goose,Irrigation,2012,1529.5,3159.5
Goose,Irrigation,2011,38.1,974
Goose,Irrigation,2010,461.7,2895
Goose,Municipal,Year,Acre Feet,Acres
Goose,Municipal,2019,2.5,0
Goose,Municipal,2018,3.3,0
Goose,Municipal,2017,2.6,0
Goose,Municipal,2016,2.2,0
Goose,Municipal,2015,1.9,0
Goose,Municipal,2014,3.1,0
Goose,Municipal,2013,167.7,0
Goose,Municipal,2012,189.4,0
Goose,Municipal,2011,210,0
Goose,Municipal,2010,232.8,0
Goose,Rural Water,Year,Acre Feet,Acres
Goose,Rural Water,2019,390.4,0
Goose,Rural Water,2018,501.6,0
Goose,Rural Water,2017,490.5,0
Goose,Rural Water,2016,477.6,0
Goose,Rural Water,2015,516.4,0
Goose,Rural Water,2014,669.1,0
Goose,Rural Water,2013,508,0
Goose,Rural Water,2012,436.6,0
Goose,Rural Water,2011,296.2,0
Goose,Rural Water,2010,430.7,0
Grand,Irrigation,Year,Acre Feet,Acres
Grand,Irrigation,2019,0,0
Grand,Municipal,Year,Acre Feet,Acres
Grand,Municipal,2019,0,0
Grand,Municipal,2018,0.2,0
Grand,Municipal,2017,0,0
Grand,Municipal,2016,0.2,0
Grand,Municipal,2015,0.3,0
Grand,Municipal,2014,0.3,0
Grand,Municipal,2013,0.4,0
Grand,Municipal,2012,0.3,0
Grand,Municipal,2011,0,0
Grand,Municipal,2010,0,0
Headwaters Souris River,Industrial,Year,Acre Feet,Acres
Headwaters Souris River,Industrial,2019,0.3,0
Headwaters Souris River,Industrial,2018,0,0
Headwaters Souris River,Industrial,2017,0,0
Headwaters Souris River,Industrial,2016,1,0
Headwaters Souris River,Industrial,2015,0,0
Headwaters Souris River,Industrial,2014,0,0
Headwaters Souris River,Industrial,2013,1.6,0
Headwaters Souris River,Industrial,2012,9.4,0
Headwaters Souris River,Industrial,2011,10.4,0
Headwaters Souris River,Industrial,2010,9.4,0
Headwaters Souris River,Municipal,Year,Acre Feet,Acres
Headwaters Souris River,Municipal,2016,0,0
Headwaters Souris River,Municipal,2015,0,0
Headwaters Souris River,Municipal,2014,0,0
Headwaters Souris River,Municipal,2013,22.7,0
Headwaters Souris River,Municipal,2012,24.8,0
Headwaters Souris River,Municipal,2011,21.8,0
Headwaters Souris River,Municipal,2010,21.1,0
James Headwaters,Industrial,Year,Acre Feet,Acres
James Headwaters,Industrial,2019,18.4,0
James Headwaters,Industrial,2018,36.9,0
James Headwaters,Industrial,2017,18.7,0
James Headwaters,Industrial,2016,18.6,0
James Headwaters,Industrial,2015,18.5,0
James Headwaters,Industrial,2014,42,0
James Headwaters,Industrial,2013,42,0
James Headwaters,Industrial,2012,41.6,0
James Headwaters,Industrial,2011,41.6,0
James Headwaters,Industrial,2010,41.6,0
James Headwaters,Irrigation,Year,Acre Feet,Acres
