Apple Creek,Domestic,Year,Acre Feet,Acres,,,
Apple Creek,Domestic,1984,0,0,,,
Apple Creek,Domestic,1983,0,0,,,
Apple Creek,Domestic,1981,0,0,,,
Apple Creek,Domestic,1977,0,0,,,
Apple Creek,Industrial,Year,Acre Feet,Acres,,,
Apple Creek,Industrial,2019,454.5,0,,,
Apple Creek,Industrial,2018,20.6,0,,,
Apple Creek,Industrial,2017,20.9,0,,,
Apple Creek,Industrial,2016,21.8,0,,,
Apple Creek,Industrial,2015,41.5,0,,,
Apple Creek,Industrial,2014,64.9,0,,,
Apple Creek,Industrial,2013,76.2,0,,,
Apple Creek,Industrial,2012,75,0,,,
Apple Creek,Industrial,2011,69,0,,,
Apple Creek,Industrial,2010,87.6,0,,,
Apple Creek,Industrial,2009,91.4,0,,,
Apple Creek,Industrial,2008,91.4,0,,,
Apple Creek,Industrial,2007,102.6,0,,,
Apple Creek,Industrial,2006,100.6,0,,,
Apple Creek,Industrial,2005,102.1,0,,,
Apple Creek,Industrial,2004,113.4,0,,,
Apple Creek,Industrial,2003,138.7,0,,,
Apple Creek,Industrial,2002,194.7,0,,,
Apple Creek,Industrial,2001,140,0,,,
Apple Creek,Industrial,2000,172,0,,,
Apple Creek,Industrial,1999,182.9,0,,,
Apple Creek,Industrial,1998,209.4,0,,,
Apple Creek,Industrial,1997,237.9,0,,,
Apple Creek,Industrial,1996,287.8,0,,,
Apple Creek,Industrial,1995,235.3,0,,,
Apple Creek,Industrial,1994,231.4,0,,,
Apple Creek,Industrial,1993,158.8,0,,,
Apple Creek,Industrial,1992,136.9,0,,,
Apple Creek,Industrial,1991,175.5,0,,,
Apple Creek,Industrial,1990,230.3,0,,,
Apple Creek,Industrial,1989,135.9,0,,,
Apple Creek,Industrial,1988,68,0,,,
Apple Creek,Industrial,1987,64.6,0,,,
Apple Creek,Industrial,1986,60,0,,,
Apple Creek,Industrial,1985,55.5,0,,,
Apple Creek,Industrial,1984,2.7,0,,,
Apple Creek,Industrial,1983,2.8,0,,,
Apple Creek,Industrial,1982,11.4,0,,,
Apple Creek,Industrial,1981,16.1,0,,,
Apple Creek,Industrial,1980,1.8,0,,,
Apple Creek,Industrial,1979,9.2,0,,,
Apple Creek,Industrial,1978,5.7,0,,,
Apple Creek,Industrial,1977,3.7,0,,,
Apple Creek,Irrigation,Year,Acre Feet,Acres,,,
Apple Creek,Irrigation,2019,9137.1,34727.5,,,
Apple Creek,Irrigation,2018,20381,36513.4,,,
Apple Creek,Irrigation,2017,28137.4,35567,,,
Apple Creek,Irrigation,2016,21686.8,35794.2,,,
Apple Creek,Irrigation,2015,22364.8,34349.5,,,
Apple Creek,Irrigation,2014,20599.6,32500.2,,,
Apple Creek,Irrigation,2013,28582.6,31918.8,,,
Apple Creek,Irrigation,2012,22605.8,29898.7,,,
Apple Creek,Irrigation,2011,13673.8,29636.8,,,
Apple Creek,Irrigation,2010,19388,30496.2,,,
Apple Creek,Irrigation,2009,20981.4,28651.4,,,
Apple Creek,Irrigation,2008,23965.4,30157.4,,,
Apple Creek,Irrigation,2007,24165.9,29382.1,,,
Apple Creek,Irrigation,2006,28991.5,29309.9,,,
Apple Creek,Irrigation,2005,24303.6,28806.9,,,
Apple Creek,Irrigation,2004,23920.2,29189.4,,,
Apple Creek,Irrigation,2003,26778.1,27992.7,,,
Apple Creek,Irrigation,2002,27073.1,28584,,,
Apple Creek,Irrigation,2001,18355.7,27036.7,,,
Apple Creek,Irrigation,2000,17301,25664,,,
Apple Creek,Irrigation,1999,13234.6,24121.3,,,
Apple Creek,Irrigation,1998,14717.5,21272.3,,,
Apple Creek,Irrigation,1997,15046.9,18000.5,,,
Apple Creek,Irrigation,1996,11171.3,13796.7,,,
Apple Creek,Irrigation,1995,8456.6,12110.9,,,
Apple Creek,Irrigation,1994,9850.1,13290.7,,,
Apple Creek,Irrigation,1993,714.4,4297.8,,,
Apple Creek,Irrigation,1992,9965.2,13881.7,,,
Apple Creek,Irrigation,1991,11239.2,13620.1,,,
Apple Creek,Irrigation,1990,9032.9,13010.5,,,
Apple Creek,Irrigation,1989,10593.6,12133,,,
Apple Creek,Irrigation,1988,14022.5,13356.5,,,
Apple Creek,Irrigation,1987,6002.2,11844.3,,,
Apple Creek,Irrigation,1986,6137,11174.3,,,
Apple Creek,Irrigation,1985,9210.2,12895.7,,,
Apple Creek,Irrigation,1984,8981.2,12361.7,,,
Apple Creek,Irrigation,1983,8156,12611.9,,,
Apple Creek,Irrigation,1982,5101.2,8754.9,,,
Apple Creek,Irrigation,1981,5572.4,6620.8,,,
Apple Creek,Irrigation,1980,8136.7,10460.4,,,
Apple Creek,Irrigation,1979,4403.4,6401.1,,,
Apple Creek,Irrigation,1978,5962.3,7963.7,,,
Apple Creek,Irrigation,1977,8620.2,5346.9,,,
Apple Creek,Municipal,Year,Acre Feet,Acres,,,
Apple Creek,Municipal,2019,257.9,0,,,
Apple Creek,Municipal,2018,269.5,0,,,
Apple Creek,Municipal,2017,289.3,0,,,
Apple Creek,Municipal,2016,281.4,0,,,
Apple Creek,Municipal,2015,307.8,0,,,
Apple Creek,Municipal,2014,331.9,0,,,
Apple Creek,Municipal,2013,330.4,0,,,
Apple Creek,Municipal,2012,302.9,0,,,
Apple Creek,Municipal,2011,294.6,0,,,
Apple Creek,Municipal,2010,327.7,0,,,
Apple Creek,Municipal,2009,338.9,0,,,
Apple Creek,Municipal,2008,389.9,0,,,
Apple Creek,Municipal,2007,397.5,0,,,
Apple Creek,Municipal,2006,410.6,0,,,
Apple Creek,Municipal,2005,356,0,,,
Apple Creek,Municipal,2004,572.7,0,,,
Apple Creek,Municipal,2003,686.9,0,,,
Apple Creek,Municipal,2002,675.1,0,,,
Apple Creek,Municipal,2001,584.9,0,,,
Apple Creek,Municipal,2000,597.7,0,,,
Apple Creek,Municipal,1999,580.6,0,,,
Apple Creek,Municipal,1998,654.8,0,,,
Apple Creek,Municipal,1997,831,0,,,
Apple Creek,Municipal,1996,631.9,0,,,
Apple Creek,Municipal,1995,567.1,0,,,
Apple Creek,Municipal,1994,636.4,0,,,
Apple Creek,Municipal,1993,427.1,0,,,
Apple Creek,Municipal,1992,650.8,0,,,
Apple Creek,Municipal,1991,678,0,,,
Apple Creek,Municipal,1990,812.5,0,,,
Apple Creek,Municipal,1989,734.3,0,,,
Apple Creek,Municipal,1988,771.9,0,,,
Apple Creek,Municipal,1987,622.8,0,,,
Apple Creek,Municipal,1986,513.4,0,,,
Apple Creek,Municipal,1985,744.8,0,,,
Apple Creek,Municipal,1984,636.6,0,,,
Apple Creek,Municipal,1983,657,0,,,
Apple Creek,Municipal,1982,480.5,0,,,
Apple Creek,Municipal,1981,455.2,0,,,
Apple Creek,Municipal,1980,534.2,0,,,
Apple Creek,Municipal,1979,480.4,0,,,
Apple Creek,Municipal,1978,294.2,0,,,
Apple Creek,Municipal,1977,235.6,0,,,
Apple Creek,Rural Water,Year,Acre Feet,Acres,,,
Apple Creek,Rural Water,2019,4.3,0,,,
Apple Creek,Rural Water,2018,4.3,0,,,
Apple Creek,Rural Water,2017,4.3,0,,,
Apple Creek,Rural Water,2016,4.3,0,,,
Apple Creek,Rural Water,2015,4.3,0,,,
Apple Creek,Rural Water,2014,4.2,0,,,
Apple Creek,Rural Water,2013,4.1,0,,,
Apple Creek,Rural Water,2012,4.2,0,,,
Apple Creek,Rural Water,2011,4.3,0,,,
Apple Creek,Rural Water,2010,4.3,0,,,
Apple Creek,Rural Water,2009,4.3,0,,,
Apple Creek,Rural Water,2008,4.3,0,,,
Apple Creek,Rural Water,2007,4.4,0,,,
Apple Creek,Rural Water,2006,4.6,0,,,
Apple Creek,Rural Water,2005,0.1,0,,,
Apple Creek,Rural Water,2004,4.4,0,,,
Apple Creek,Rural Water,2003,4.3,0,,,
Apple Creek,Rural Water,2002,4.4,0,,,
Apple Creek,Rural Water,2001,4.8,0,,,
Apple Creek,Rural Water,2000,4.5,0,,,
Apple Creek,Rural Water,1999,15.2,0,,,
Apple Creek,Rural Water,1998,24.8,0,,,
Apple Creek,Rural Water,1997,27.5,0,,,
Apple Creek,Rural Water,1996,48.6,0,,,
Apple Creek,Rural Water,1995,58,0,,,
Apple Creek,Rural Water,1994,59.4,0,,,
Apple Creek,Rural Water,1993,67.4,0,,,
Apple Creek,Rural Water,1992,116.2,0,,,
Apple Creek,Rural Water,1991,167.2,0,,,
Apple Creek,Rural Water,1990,136.3,0,,,
Apple Creek,Rural Water,1989,160.5,0,,,
Apple Creek,Rural Water,1988,176.9,0,,,
Apple Creek,Rural Water,1987,129.4,0,,,
Apple Creek,Rural Water,1986,118,0,,,
Apple Creek,Rural Water,1985,142.9,0,,,
Apple Creek,Rural Water,1984,114.3,0,,,
Apple Creek,Rural Water,1983,104.4,0,,,
Apple Creek,Rural Water,1982,116.5,0,,,
Apple Creek,Rural Water,1981,153.9,0,,,
Apple Creek,Rural Water,1980,120.4,0,,,
Apple Creek,Rural Water,1979,106.5,0,,,
Apple Creek,Rural Water,1978,111,0,,,
Apple Creek,Rural Water,1977,182.9,0,,,
Beaver,Industrial,Year,Acre Feet,Acres,,,
Beaver,Industrial,2019,4.7,0,,,
Beaver,Industrial,2018,4.6,0,,,
Beaver,Industrial,2017,4.3,0,,,
Beaver,Industrial,2016,3.4,0,,,
Beaver,Industrial,2015,3.6,0,,,
Beaver,Industrial,2014,2.3,0,,,
Beaver,Industrial,2013,1.6,0,,,
Beaver,Industrial,2012,1.7,0,,,
Beaver,Industrial,2011,0.8,0,,,
Beaver,Industrial,2010,0.5,0,,,
Beaver,Industrial,2009,6,0,,,
Beaver,Industrial,2008,1.1,0,,,
Beaver,Industrial,2007,0.8,0,,,
Beaver,Industrial,2006,3.8,0,,,
Beaver,Industrial,2005,10.3,0,,,
Beaver,Industrial,2004,9.1,0,,,
Beaver,Industrial,2003,4,0,,,
Beaver,Industrial,2002,13.3,0,,,
Beaver,Industrial,2001,6.9,0,,,
Beaver,Industrial,2000,4.3,0,,,
Beaver,Industrial,1999,5.7,0,,,
Beaver,Industrial,1998,5.7,0,,,
Beaver,Industrial,1997,4.7,0,,,
Beaver,Industrial,1996,5.8,0,,,
Beaver,Industrial,1995,4.3,0,,,
Beaver,Industrial,1994,4.4,0,,,
Beaver,Industrial,1993,3.5,0,,,
Beaver,Industrial,1992,5.1,0,,,
Beaver,Industrial,1991,0.3,0,,,
Beaver,Industrial,1990,17.5,0,,,
Beaver,Industrial,1989,11.2,0,,,
Beaver,Industrial,1988,3.5,0,,,
Beaver,Industrial,1987,1.1,0,,,
Beaver,Industrial,1986,0.9,0,,,
Beaver,Industrial,1985,1.5,0,,,
Beaver,Industrial,1984,0,0,,,
Beaver,Industrial,1983,1.4,0,,,
Beaver,Irrigation,Year,Acre Feet,Acres,,,
Beaver,Irrigation,2019,222.8,1252,,,
Beaver,Irrigation,2018,913.6,1252,,,
Beaver,Irrigation,2017,1035.9,1392.2,,,
Beaver,Irrigation,2016,720.5,978,,,
Beaver,Irrigation,2015,737.9,836,,,
Beaver,Irrigation,2014,567.4,750,,,
Beaver,Irrigation,2013,965.8,882,,,
Beaver,Irrigation,2012,1072.5,872,,,
Beaver,Irrigation,2011,471.6,797,,,
Beaver,Irrigation,2010,552.1,825,,,
Beaver,Irrigation,2009,401.3,825,,,
Beaver,Irrigation,2008,511.5,835,,,
Beaver,Irrigation,2007,801.7,846,,,
Beaver,Irrigation,2006,1376.4,794,,,
Beaver,Irrigation,2005,1079.3,882,,,
Beaver,Irrigation,2004,757.6,885,,,
Beaver,Irrigation,2003,1312.8,1072,,,
Beaver,Irrigation,2002,1382.5,1077,,,
Beaver,Irrigation,2001,1312,1072,,,
Beaver,Irrigation,2000,954.4,940,,,
Beaver,Irrigation,1999,137.9,274,,,
Beaver,Irrigation,1998,663,680,,,
Beaver,Irrigation,1997,481,664,,,
Beaver,Irrigation,1996,1030,684,,,
Beaver,Irrigation,1995,432.2,680,,,
Beaver,Irrigation,1994,499.1,467,,,
Beaver,Irrigation,1993,70.7,138,,,
Beaver,Irrigation,1992,576.5,680,,,
Beaver,Irrigation,1991,724.3,670,,,
Beaver,Irrigation,1990,739,670,,,
Beaver,Irrigation,1989,675,664,,,
Beaver,Irrigation,1988,521.3,671,,,
Beaver,Irrigation,1987,385,530,,,
Beaver,Irrigation,1986,433.3,520,,,
Beaver,Irrigation,1985,138.3,530,,,
Beaver,Irrigation,1984,212.6,270,,,
Beaver,Irrigation,1983,272.5,270,,,
Beaver,Irrigation,1982,302.4,270,,,
Beaver,Irrigation,1981,216.9,270,,,
Beaver,Irrigation,1980,0,0,,,
Beaver,Irrigation,1979,0,0,,,
Beaver,Irrigation,1978,0,0,,,
Beaver,Irrigation,1977,0,0,,,
Beaver,Municipal,Year,Acre Feet,Acres,,,
Beaver,Municipal,2019,138.9,0,,,
Beaver,Municipal,2018,138.4,0,,,
Beaver,Municipal,2017,128.3,0,,,
Beaver,Municipal,2016,103.6,0,,,
Beaver,Municipal,2015,138.2,0,,,
Beaver,Municipal,2014,169.4,0,,,
Beaver,Municipal,2013,222,0,,,
Beaver,Municipal,2012,255.9,0,,,
Beaver,Municipal,2011,338,0,,,
Beaver,Municipal,2010,350.9,0,,,
Beaver,Municipal,2009,357.3,0,,,
