year,location,withdrawal volume (AF),use type
2018,Pressure,92010,agricultural
2018,East Side,75629,agricultural
2018,Forebay,138838,agricultural
2018,Upper Valley,126919,agricultural
2018,Pressure,17246,urban
2018,East Side,13938,urban
2018,Forebay,7303,urban
2018,Upper Valley,3418,urban
2017,Pressure,91901,agricultural
2017,East Side,77353,agricultural
2017,Forebay,139359,agricultural
2017,Upper Valley,123446,agricultural
2017,Pressure,15523,urban
2017,East Side,13258,urban
2017,Forebay,6764,urban
2017,Upper Valley,3407,urban
2016,Pressure,98890,agricultural
2016,East Side,80379,agricultural
2016,Forebay,141163,agricultural
2016,Upper Valley,124678,agricultural
2016,Pressure,14605,urban
2016,East Side,11802,urban
2016,Forebay,4866,urban
2016,Upper Valley,2991,urban
2015,Pressure,109214,agricultural
2015,East Side,91491,agricultural
2015,Forebay,142668,agricultural
2015,Upper Valley,134740,agricultural
2015,Pressure,14443,urban
2015,East Side,12631,urban
2015,Forebay,6221,urban
2015,Upper Valley,3306,urban
2014,Pressure,101465,agricultural
2014,East Side,91160,agricultural
2014,Forebay,150890,agricultural
2014,Upper Valley,136645,agricultural
2014,Pressure,19425,urban
2014,East Side,14484,urban
2014,Forebay,6745,urban
2014,Upper Valley,3673,urban
2013,Pressure,98141,agricultural
2013,East Side,82895,agricultural
2013,Forebay,140574,agricultural
2013,Upper Valley,141263,agricultural
2013,Pressure,19101,urban
2013,East Side,14727,urban
2013,Forebay,7893,urban
2013,Upper Valley,3611,urban
2012,Pressure,95814,agricultural
2012,East Side,82451,agricultural
2012,Forebay,135971,agricultural
2012,Upper Valley,132383,agricultural
2012,Pressure,18084,urban
2012,East Side,13092,urban
2012,Forebay,7488,urban
2012,Upper Valley,3957,urban
2011,Pressure,87290,agricultural
2011,East Side,73495,agricultural
2011,Forebay,122903,agricultural
2011,Upper Valley,120422,agricultural
2011,Pressure,17882,urban
2011,East Side,15557,urban
2011,Forebay,6834,urban
2011,Upper Valley,4201,urban
2010,Pressure,87880,agricultural
2010,East Side,74512,agricultural
2010,Forebay,125145,agricultural
2010,Upper Valley,128883,agricultural
2010,Pressure,15663,urban
2010,East Side,16788,urban
2010,Forebay,7002,urban
2010,Upper Valley,4568,urban
2009,Pressure,100966,agricultural
2009,East Side,85202,agricultural
2009,Forebay,140567,agricultural
2009,Upper Valley,138972,agricultural
2009,Pressure,20199,urban
2009,East Side,13786,urban
2009,Forebay,7521,urban
2009,Upper Valley,4011,urban
2008,Pressure,108335,agricultural
2008,East Side,93283,agricultural
2008,Forebay,149565,agricultural
2008,Upper Valley,125941,agricultural
2008,Pressure,21804,urban
2008,East Side,15413,urban
2008,Forebay,8657,urban
2008,Upper Valley,4173,urban
2007,Pressure,103803,agricultural
2007,East Side,89065,agricultural
2007,Forebay,149723,agricultural
2007,Upper Valley,132564,agricultural
2007,Pressure,21817,urban
2007,East Side,15118,urban
2007,Forebay,9052,urban
2007,Upper Valley,4453,urban
2006,Pressure,91836,agricultural
2006,East Side,80652,agricultural
2006,Forebay,130249,agricultural
2006,Upper Valley,118897,agricultural
2006,Pressure,20695,urban
2006,East Side,14515,urban
2006,Forebay,9822,urban
2006,Upper Valley,4574,urban
2005,Pressure,97028,agricultural
2005,East Side,80100,agricultural
2005,Forebay,139951,agricultural
2005,Upper Valley,126488,agricultural
2005,Pressure,21344,urban
2005,East Side,16028,urban
2005,Forebay,8571,urban
2005,Upper Valley,4536,urban
2004,Pressure,102137,agricultural
2004,East Side,95313,agricultural
2004,Forebay,146718,agricultural
2004,Upper Valley,126884,agricultural
2004,Pressure,23317,urban
2004,East Side,16888,urban
2004,Forebay,8225,urban
2004,Upper Valley,4632,urban
2003,Pressure,97947,agricultural
2003,East Side,88763,agricultural
2003,Forebay,141778,agricultural
2003,Upper Valley,122376,agricultural
2003,Pressure,23236,urban
2003,East Side,14675,urban
2003,Forebay,7936,urban
2003,Upper Valley,4625,urban
2002,Pressure,100392,agricultural
2002,East Side,86293,agricultural
2002,Forebay,147374,agricultural
2002,Upper Valley,139188,agricultural
2002,Pressure,22886,urban
2002,East Side,12532,urban
2002,Forebay,6993,urban
2002,Upper Valley,4545,urban
2001,Pressure,88168,agricultural
2001,East Side,73272,agricultural
2001,Forebay,134571,agricultural
2001,Upper Valley,107572,agricultural
2001,Pressure,20524,urban
2001,East Side,8000,urban
2001,Forebay,5175,urban
2001,Upper Valley,3995,urban
2000,Pressure,94151,agricultural
2000,East Side,81406,agricultural
2000,Forebay,139616,agricultural
2000,Upper Valley,126887,agricultural
2000,Pressure,23164,urban
2000,East Side,7672,urban
2000,Forebay,7423,urban
2000,Upper Valley,4034,urban
1999,Pressure,97910,agricultural
1999,East Side,79562,agricultural
1999,Forebay,136169,agricultural
1999,Upper Valley,150367,agricultural
1999,Pressure,20963,urban
1999,East Side,8955,urban
1999,Forebay,6359,urban
1999,Upper Valley,4282,urban
1998,Pressure,85184,agricultural
1998,East Side,74148,agricultural
1998,Forebay,117812,agricultural
1998,Upper Valley,122377,agricultural
1998,Pressure,19732,urban
1998,East Side,12213,urban
1998,Forebay,5855,urban
1998,Upper Valley,3727,urban
1997,Pressure,123812,agricultural
1997,East Side,105824,agricultural
1997,Forebay,155548,agricultural
1997,Upper Valley,166716,agricultural
1997,Pressure,22176,urban
1997,East Side,14343,urban
1997,Forebay,5470,urban
1997,Upper Valley,4249,urban
1996,Pressure,120633,agricultural
1996,East Side,92723,agricultural
1996,Forebay,150912,agricultural
1996,Upper Valley,156536,agricultural
1996,Pressure,20810,urban
1996,East Side,12991,urban
1996,Forebay,5083,urban
1996,Upper Valley,3750,urban
1995,Pressure,105741,agricultural
1995,East Side,84589,agricultural
1995,Forebay,133226,agricultural
1995,Upper Valley,139072,agricultural
1995,Pressure,30738,urban
1995,East Side,2907,urban
1995,Forebay,3994,urban
1995,Upper Valley,4245,urban
