System Name,System ID,System Type,System Status,History Year,Date Received,County,Use Cooling Percent,Use Process Percent,Use Domestic Percent,Use Miscellaneous Percent,Irrigation (Lawn and Garden) Percent,Acres Irrigated,Irrigation (Agriculture),Acres Irrigated,DEQ ID,Population,Domestic Use,Commercial Use,Industrial Use,Institutional Use,Total Use,Domestic Connections,Commercial Connections,Industrial Connections,Institutional Connections,Total Connections,Peak Date,Peak Demand,Peak Demand Units,Peak Use Include,Peak Measurement Type,Peak Wholesale Volume,Peak Wholesale Volume Units
Leeds Domestic Water Users Association,1000,Public,Active,2019,1/21/16,Washington,,,,,,,,,27010,800,190.780965,44.24801838,0.338620581,8.437464927,243.8050689,349,16,1,5,371,7/29/15,0.949205598,acre feet,Indoor and Outdoor,,,
Leeds Domestic Water Users Association,1000,Public,Active,2018,4/29/15,Washington,,,,,,,,,27010,800,189.2606709,21.63808221,1.074416035,5.370545735,217.3437149,335,22,1,5,363,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2017,4/4/14,Washington,,,,,,,,,27010,800,179.5603605,15.41110322,0.923991653,5.035607814,200.9310632,333,22,1,5,361,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2016,3/15/13,Washington,,,,,,,,,27010,780,163.743551,15.19824548,0.87420209,4.466636855,184.2826354,330,22,1,5,358,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2015,2/21/12,Washington,,,,,,,,,27010,760,158.9623843,23.92117793,0,0,182.8835622,370,34,0,0,404,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2014,1/19/11,Washington,,,,,,,,,27010,780,187.6499369,0,0,0,285.8542017,324,0,0,0,424,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2013,5/28/10,Washington,,,,,,,,,27010,780,190.7188201,0,0,0,288.923085,324,0,0,0,424,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2012,6/11/09,Washington,,,,,,,,,27010,780,192.1900735,0,0,0,290.3943383,338,0,0,0,438,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2011,6/11/09,Washington,,,,,,,,,27010,780,197.4354272,33.25972836,0,0,230.6951555,317,25,0,0,442,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2010,3/9/07,Washington,,,,,,,,,27010,700,242.4417778,7.518763996,0,0,249.9605418,401,23,0,0,424,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2009,1/10/06,Washington,,,,,,,,,27010,790,154.9786048,9.820426444,0,0,166.3334729,317,14,0,0,432,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2008,1/25/05,Washington,,,,,,,,,27010,894,159.5819297,11.6617564,0,0,172.7781277,323,16,0,0,382,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2007,2/27/04,Washington,,,,,,,,,27010,876,162.7462867,10.29990881,0,0,174.5806371,320,5,0,0,365,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2006,3/8/03,Washington,,,,,,,,,27010,860,60.6,2.20959596,0,0,64.3440375,0,3,0,0,43,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2005,6/1/02,Washington,,,,,,,,,27010,700,119.3335262,2.433624439,0,18.41329966,149.3871002,290,4,0,4,320,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2004,2/7/01,Washington,,,,,,,,,27010,617,200.0595405,12.89020492,0,11.44159141,224.3913368,226,14,0,4,244,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2003,4/11/00,Washington,,,,,,,,,27010,617,153.9078436,10.44674381,0,8.373108823,172.7276963,224,14,0,4,242,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2002,3/6/99,Washington,,,,,,,,,27010,617,176.7719213,26.49999018,0,4.458813954,310.0975113,223,20,0,1,244,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2001,3/4/98,Washington,,,,,,,,,27010,380,163.9210285,29.75409172,0,11.85377106,205.5288912,176,13,0,1,190,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2000,2/19/97,Washington,,,,,,,,,27010,380,171.5317983,16.1526544,0,9.511129771,198.35877,171,13,0,1,185,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1999,2/29/96,Washington,,,,,,,,,27010,480,154.7929465,13.49788601,0,12.16589816,222.0614016,161,13,0,1,175,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1998,3/2/95,Washington,,,,,,,,,27010,475,168.8003025,18.41457845,0,,187.2148809,0,0,0,,172,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1997,3/1/94,Washington,,,,,,,,,27010,450,143.0505836,7.912130542,0,9.280947541,168.530222,151,13,0,1,165,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1996,2/23/93,Washington,,,,,,,,,27010,425,139.5333991,18.60179333,0,,186.039417,0,0,0,,0,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1995,2/4/92,Washington,,,,,,,,,27010,425,134.3159352,14.92501584,0,,149.2409511,0,0,0,,155,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1994,3/15/91,Washington,,,,,,,,,27010,400,130.9921038,13.01910697,0,,144.0112108,0,0,0,,150,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1993,2/1/90,Washington,,,,,,,,,27010,360,0,0,0,,127.1987007,0,0,0,,146,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1992,1/28/89,Washington,,,,,,,,,27010,340,0,0,0,,125.5935632,0,0,0,,340,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1991,3/1/88,Washington,,,,,,,,,27010,290,101.7835133,11.81909027,0,,113.6026036,114,6,0,,120,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1990,4/14/87,Washington,,,,,,,,,27010,275,0,0,0,,105.4602908,104,6,0,,110,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1989,3/11/86,Washington,,,,,,,,,27010,360,86.5761406,2.556557309,0,6.930019691,96.0627176,108,5,0,,113,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1988,2/28/85,Washington,,,,,,,,,27010,0,84.13007076,3.115132855,0,,87.24520362,109,6,0,,115,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1987,4/17/84,Washington,,,,,,,,,27010,225,80.52695158,3.61539557,0,,84.14234715,102,6,0,,108,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1986,3/23/83,Washington,,,,,,,,,27010,280,81.93566683,1.028147297,0,,82.96381413,106,2,0,,108,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1985,2/17/82,Washington,,,,,,,,,27010,297,167.066263,1.074183743,0,,168.1404468,100,1,0,,101,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1984,3/12/81,Washington,,,,,,,,,27010,0,0,0,0,,80.54843525,0,0,0,,0,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1983,2/20/80,Washington,,,,,,,,,27010,250,0,0,0,,69.70531764,0,0,0,,99,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1982,3/23/79,Washington,,,,,,,,,27010,218,0,0,0,,80.22311103,0,0,0,,90,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1981,1/24/78,Washington,,,,,,,,,27010,269,0,0,0,,88.42680573,103,6,0,,109,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1980,3/8/77,Washington,,,,,,,,,27010,269,0,0,0,,102.188634,95,7,0,,102,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1979,3/9/76,Washington,,,,,,,,,27010,255,0,0,0,,89.07131598,0,0,0,,101,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1978,12/30/74,Washington,,,,,,,,,27010,0,0,0,0,,84.28966377,0,0,0,,89,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1977,12/30/73,Washington,,,,,,,,,27010,0,0,0,0,,72.65778838,0,0,0,,94,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1976,12/30/72,Washington,,,,,,,,,27010,0,0,0,0,,0,0,0,0,,85,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1973,12/30/69,Washington,,,,,,,,,27010,0,0,0,0,,125.2191335,0,0,0,,85,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1972,12/30/68,Washington,,,,,,,,,27010,0,0,0,0,,73.55089544,0,0,0,,82,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1971,12/30/67,Washington,,,,,,,,,27010,0,0,0,0,,67.4311172,0,0,0,,72,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1969,12/30/65,Washington,,,,,,,,,27010,0,0,0,0,,62.22286059,0,0,0,,62,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1968,12/30/64,Washington,,,,,,,,,27010,0,0,0,0,,57.54555767,0,0,0,,60,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1967,12/30/63,Washington,,,,,,,,,27010,0,0,0,0,,57.41358652,0,0,0,,52,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1966,12/30/62,Washington,,,,,,,,,27010,0,0,0,0,,57.7757399,0,0,0,,59,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1965,12/30/61,Washington,,,,,,,,,27010,0,0,0,0,,61.65200866,0,0,0,,57,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1964,12/30/60,Washington,,,,,,,,,27010,0,0,0,0,,56.90718561,0,0,0,,55,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1963,12/30/59,Washington,,,,,,,,,27010,0,0,0,0,,54.55932686,0,0,0,,52,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1962,12/30/58,Washington,,,,,,,,,27010,0,0,0,0,,49.13009531,0,0,0,,54,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1960,12/30/56,Washington,,,,,,,,,27010,0,0,0,0,,56.16446428,0,0,0,,52,,,,,,,
Riverdale City,1001,Public,Active,2019,2/24/16,Weber,,,,,,,,,29015,9545,1432.25,464.32,1,113.5,2011.07,2253,226,4,41,2524,,,,,,,
Riverdale City,1001,Public,Active,2018,2/27/15,Weber,,,,,,,,,29015,9270,1692.7,530.67,0.32,153.2,2376.89,2253,226,4,41,2524,,,,,,,
Riverdale City,1001,Public,Active,2017,3/5/14,Weber,,,,,,,,,29015,8850,1534,487.63,1.84,132.27,2155.74,2125,228,4,41,2398,8/14/13,14,acre feet,Indoor and Outdoor,Metered,,
Riverdale City,1001,Public,Active,2016,2/20/13,Weber,,,,,,,,,29015,8840,1570.09,467.18,2.7,130.9,2170.87,2297,217,4,41,2559,,,,,,,
Riverdale City,1001,Public,Active,2015,2/28/12,Weber,,,,,,,,,29015,8770,1432,435.7,4.65,121.39,1993.74,2091,247,4,38,2380,,,,,,,
Riverdale City,1001,Public,Active,2014,3/12/11,Weber,,,,,,,,,29015,8500,1558.36,473.26,3.52,128.98,2174.12,2134,232,4,36,2408,,,,,,,
Riverdale City,1001,Public,Active,2013,1/9/10,Weber,,,,,,,,,29015,8500,1641.75,485.8,3.7,138.1,2274.35,2117,198,4,36,2357,,,,,,,
Riverdale City,1001,Public,Active,2012,1/14/09,Weber,,,,,,,,,29015,8493,1885,530,5,165,2590,2110,192,4,36,2344,,,,,,,
Riverdale City,1001,Public,Active,2011,2/22/08,Weber,,,,,,,,,29015,8493,1540,428,5,112,2122,2101,203,4,36,2346,,,,,,,
Riverdale City,1001,Public,Active,2010,1/27/07,Weber,,,,,,,,,29015,8493,1746,493,5,124,2388,2086,202,4,35,2329,,,,,,,
Riverdale City,1001,Public,Active,2009,1/28/06,Weber,,,,,,,,,29015,8462,1605,458,4,122,2190,2074,194,4,32,2304,,,,,,,
Riverdale City,1001,Public,Active,2008,1/15/05,Weber,,,,,,,,,29015,8462,1879,503,4,156,2542.4,2065,194,4,32,2295,,,,,,,
Riverdale City,1001,Public,Active,2007,1/14/04,Weber,,,,,,,,,29015,8444,1815,701,4,158,2678,2048,204,4,32,2288,,,,,,,
Riverdale City,1001,Public,Active,2006,1/15/03,Weber,,,,,,,,,29015,8415,1762,618,5,87,2472,2011,171,4,29,2215,,,,,,,
Riverdale City,1001,Public,Active,2005,1/22/02,Weber,,,,,,,,,29015,8328,1661,474,5,93,2233,2013,197,6,28,2244,,,,,,,
Riverdale City,1001,Public,Active,2004,2/3/01,Weber,,,,,,,,,29015,8194,1699,496,6,96,2299,1962,197,6,27,2192,,,,,,,
Riverdale City,1001,Public,Active,2003,3/11/00,Weber,,,,,,,,,29015,8026,1711,483,5,124,2323,1901,182,6,27,2116,,,,,,,
Riverdale City,1001,Public,Active,2002,2/20/99,Weber,,,,,,,,,29015,7874,1743,464,10,73,2306,1845,175,3,22,2052,,,,,,,
Riverdale City,1001,Public,Active,2001,3/24/98,Weber,,,,,,,,,29015,7800,1849,438,16,149,2467,1818,172,3,22,2018,,,,,,,
Riverdale City,1001,Public,Active,2000,2/7/97,Weber,,,,,,,,,29015,8250,1843.124365,522.0348846,3.001576288,103.0080828,2471.168908,1765,148,2,21,1939,,,,,,,
Riverdale City,1001,Public,Active,1999,3/21/96,Weber,,,,,,,,,29015,8250,1788.568107,475.4091719,0,,2263.977279,1760,156,0,,1916,,,,,,,
Riverdale City,1001,Public,Active,1998,2/22/95,Weber,,,,,,,,,29015,0,4.873725097,1.292089588,0,,6.165814686,1678,153,0,1,1832,,,,,,,
Riverdale City,1001,Public,Active,1997,2/19/94,Weber,,,,,,,,,29015,7250,1631.000697,433.0003978,0,,2064.001095,1527,165,0,,1692,,,,,,,
Riverdale City,1001,Public,Active,1996,3/5/93,Weber,,,,,,,,,29015,7200,1636.000255,488.9991308,0,,2124.999386,1428,154,0,,1582,,,,,,,
Riverdale City,1001,Public,Active,1995,2/26/92,Weber,,,,,,,,,29015,7500,1829.000383,96.00133567,0.500262715,,1925.501981,1387,162,1,,1550,,,,,,,
Riverdale City,1001,Public,Active,1994,2/15/91,Weber,,,,,,,,,29015,7500,1667.998655,418.5602992,1.000525429,,2087.559479,0,0,0,,1504,,,,,,,
Riverdale City,1001,Public,Active,1993,1/23/90,Weber,,,,,,,,,29015,6500,1408.000152,306.9986447,1.000525429,,1715.999322,1242,270,1,,1513,,,,,,,
Riverdale City,1001,Public,Active,1992,2/15/89,Weber,,,,,,,,,29015,6500,0,0,0,,1861.999308,0,0,0,,1476,,,,,,,
Riverdale City,1001,Public,Active,1991,2/5/88,Weber,,,,,,,,,29015,6200,0,0,0,,1837.001517,0,0,0,,0,,,,,,,
